Date,Deaths,Cumulative Deaths
2020/03/08,0,2
2020/03/09,1,3
2020/03/10,4,7
2020/03/11,0,7
2020/03/12,2,9
2020/03/13,1,10
2020/03/14,18,28
2020/03/15,15,43
2020/03/16,22,65
2020/03/17,16,81
2020/03/18,34,115
2020/03/19,43,158
2020/03/20,36,194
2020/03/21,56,250
2020/03/22,35,285
2020/03/23,74,359
2020/03/24,149,508
2020/03/25,186,694
2020/03/26,183,877
2020/03/27,284,1161
2020/03/28,294,1455
2020/03/29,214,1669
2020/03/30,374,2043
2020/03/31,382,2425
2020/04/01,670,3095
2020/04/02,652,3747
2020/04/03,714,4461
2020/04/04,760,5221
2020/04/05,644,5865
2020/04/06,568,6433
2020/04/07,1038,7471
2020/04/08,1034,8505
2020/04/09,1103,9608
2020/04/10,1152,10760
2020/04/11,839,11599
2020/04/12,686,12285
2020/04/13,744,13029
2020/04/14,1044,14073
2020/04/15,842,14915
2020/04/16,1029,15944
2020/04/17,935,16879
2020/04/18,1115,17994
2020/04/19,498,18492
2020/04/20,559,19051
2020/04/21,1172,20223
2020/04/22,837,21060
2020/04/23,727,21787
2020/04/24,1005,22792
2020/04/25,843,23635
2020/04/26,420,24055
2020/04/27,338,24393
2020/04/28,909,25302
2020/04/29,795,26097
2020/04/30,674,26771
2020/05/01,739,27510
2020/05/02,621,28131
2020/05/03,315,28446
2020/05/04,288,28734
2020/05/05,693,29427
2020/05/06,649,30076
2020/05/07,539,30615
2020/05/08,626,31241
2020/05/09,346,31587
